distance,target_velocity,target_acceleration,actual_duration,,,,
15,900,300,0.41397234,,,,
15,900,400,0.2013886,,,,
15,900,500,0.20164762,,,,
15,900,600,0.20169658,,,,
15,900,700,0.20150546,,,,
15,900,800,0.20164274,,,,
15,900,900,0.2014594,,,,
15,900,1000,0.20145888,,,,
15,1000,100,0.62571678,,,,
15,1000,200,0.4138649,,,,
15,1000,300,0.4135214,,,,
15,1000,400,0.20166216,,,,
15,1000,500,0.2015445,,,,
15,1000,600,0.20131176,,,,
15,1000,700,0.2015751,,,,
15,1000,800,0.20130976,,,,
15,1000,900,0.2015232,,,,
15,1000,1000,0.2016604,,,,
20,100,100,0.83744564,,,,
20,100,200,0.41397174,,,,
20,100,300,0.4139926,,,,
20,100,400,0.4136204,,,,
20,100,500,0.20168716,,,,
20,100,600,0.2016832,,,,
20,100,700,0.20141912,,,,
20,100,800,0.20162096,,,,
20,100,900,0.20143022,,,,
20,100,1000,0.20157128,,,,
20,200,100,0.83777066,,,,
20,200,200,0.41375208,,,,
20,200,300,0.4139425,,,,
20,200,400,0.41353286,,,,
20,200,500,0.20164332,,,,
20,200,600,0.2017059,,,,
20,200,700,0.20155614,,,,
20,200,800,0.20176612,,,,
20,200,900,0.20194652,,,,
20,200,1000,0.20147814,,,,
20,300,100,0.8379165,,,,
20,300,200,0.4135201,,,,
20,300,300,0.41359084,,,,
20,300,400,0.41319092,,,,
20,300,500,0.2015813,,,,
20,300,600,0.2016287,,,,
20,300,700,0.2015126,,,,
20,300,800,0.20142628,,,,
20,300,900,0.20151202,,,,
20,300,1000,0.20150066,,,,
20,400,100,0.8386872,,,,
20,400,200,0.41336064,,,,
20,400,300,0.41355468,,,,
20,400,400,0.41365214,,,,
20,400,500,0.20180294,,,,
20,400,600,0.20164258,,,,
20,400,700,0.20139276,,,,
20,400,800,0.20163564,,,,
20,400,900,0.20153814,,,,
20,400,1000,0.20161318,,,,
20,500,100,0.83721328,,,,
20,500,200,0.41388124,,,,
20,500,300,0.41387122,,,,
20,500,400,0.41383618,,,,
20,500,500,0.20164256,,,,
20,500,600,0.20164528,,,,
20,500,700,0.20136284,,,,
20,500,800,0.20157078,,,,
20,500,900,0.2015974,,,,
20,500,1000,0.2016389,,,,
20,600,100,0.8372117,,,,
20,600,200,0.41395816,,,,
20,600,300,0.41386794,,,,
20,600,400,0.4137763,,,,
20,600,500,0.20150014,,,,
20,600,600,0.2013879,,,,
20,600,700,0.20141098,,,,
20,600,800,0.20173168,,,,
20,600,900,0.20155262,,,,
20,600,1000,0.20147864,,,,
20,700,100,0.8382651,,,,
20,700,200,0.41351138,,,,
20,700,300,0.41301518,,,,
20,700,400,0.41314468,,,,
20,700,500,0.20165018,,,,
20,700,600,0.20149348,,,,
20,700,700,0.2013205,,,,
20,700,800,0.20159434,,,,
20,700,900,0.2015633,,,,
20,700,1000,0.20175408,,,,
20,800,100,0.837317,,,,
20,800,200,0.41394782,,,,
20,800,300,0.41345898,,,,
20,800,400,0.41425722,,,,
20,800,500,0.2014736,,,,
20,800,600,0.20156636,,,,
20,800,700,0.20153922,,,,
20,800,800,0.20149504,,,,
20,800,900,0.20162304,,,,
20,800,1000,0.2015362,,,,
20,900,100,0.83763036,,,,
20,900,200,0.4139728,,,,
20,900,300,0.41363484,,,,
20,900,400,0.4139173,,,,
20,900,500,0.20139558,,,,
20,900,600,0.2015745,,,,
20,900,700,0.20156382,,,,
20,900,800,0.20144344,,,,
20,900,900,0.20155026,,,,
20,900,1000,0.20165576,,,,
20,1000,100,0.83801342,,,,
20,1000,200,0.41364106,,,,
20,1000,300,0.4135585,,,,
20,1000,400,0.4135734,,,,
20,1000,500,0.20156506,,,,
20,1000,600,0.20155366,,,,
20,1000,700,0.2012651,,,,
20,1000,800,0.20161084,,,,
20,1000,900,0.20173466,,,,
20,1000,1000,0.20149768,,,,
25,100,100,0.83831724,,,,
25,100,200,0.62622428,,,,
25,100,300,0.41337666,,,,
25,100,400,0.41390132,,,,
25,100,500,0.4133816,,,,
25,100,600,0.4137724,,,,
25,100,700,0.2016159,,,,
25,100,800,0.20149446,,,,
25,100,900,0.20171752,,,,
25,100,1000,0.20166956,,,,
25,200,100,0.83711282,,,,
25,200,200,0.6251024,,,,
25,200,300,0.41390218,,,,
25,200,400,0.41340876,,,,
25,200,500,0.4136706,,,,
25,200,600,0.20162896,,,,
25,200,700,0.20137464,,,,
25,200,800,0.20186224,,,,
25,200,900,0.20164776,,,,
25,200,1000,0.20160028,,,,
25,300,100,0.83778426,,,,
25,300,200,0.62564248,,,,
25,300,300,0.41351998,,,,
25,300,400,0.4135483,,,,
25,300,500,0.4136197,,,,
25,300,600,0.20141588,,,,
25,300,700,0.201578,,,,
25,300,800,0.20159002,,,,
25,300,900,0.201524,,,,
25,300,1000,0.20150178,,,,
